time,z,y,x
1707531222096190000,0,0,0
1707531222115080000,0.128236294,-0.054443359,-0.103263453
1707531222133970000,0.12225914,0.026648521,-0.094529755
1707531222152860000,0.065271854,0.039908409,-0.14274323
1707531222171760000,0.06658268,0.025915146,-0.056036919
1707531222190650000,-0.004749775,0.105143547,-0.108795166
1707531222209540000,-0.074115276,0.14125061,-0.068372101
1707531222228430000,-0.113634109,-0.031309605,0.233809233
1707531222247330000,-0.056761265,-0.295629978,0.148018062
1707531222266220000,0.138988018,-0.167117119,0.143398881
1707531222285110000,0.085644245,-0.068617344,0.417533755
1707531222304010000,-0.133573532,-0.276113987,0.133745551
1707531222322900000,-0.156612396,-0.131730556,0.316042781
1707531222341790000,0.016101837,-0.191753864,0.186258316
1707531222360680000,0.073184967,-0.157514572,0.132025719
1707531222379580000,-0.055330753,-0.127035618,0.14599824
1707531222398470000,-0.012863636,-0.201958656,0.014174223
1707531222417360000,-0.029998302,-0.350037098,0.034883261
1707531222436250000,0.111148834,-0.23025465,0.392776966
1707531222455150000,0.166689396,-0.155171871,0.296940088
1707531222474040000,0.121677876,-0.005988121,0.137059331
1707531222492930000,0.011132717,-0.112687111,0.215502381
1707531222511820000,-0.277667999,-0.09105444,0.353247523
1707531222530720000,-0.188817978,-0.05225563,0.348705769
1707531222549610000,-0.082994938,0.029881001,0.214607477
1707531222568500000,-0.334733486,0.173293114,0.281597614
1707531222587400000,-0.443388462,0.09054184,-0.106641889
1707531222606290000,-0.735563278,-0.047184944,-0.17320919
1707531222625180000,-0.047751904,0.061456203,0.228810012
1707531222644070000,0.190398216,-0.011923313,0.088408649
1707531222662970000,0.027259827,-0.035605431,-0.035561442
1707531222681860000,-0.093167782,0.012077332,-0.132409185
1707531222700750000,0.004593849,0.066929817,0.00878939
1707531222719640000,0.175383091,0.055174351,0.143912643
1707531222738540000,0.38718605,0.063998699,0.242041007
1707531222757430000,0.321653843,-0.017693996,0.126008883
1707531222776320000,0.260334492,-0.122549057,-0.13024883
1707531222795210000,0.176008701,-0.089893818,-0.436243147
1707531222814110000,0.132909775,0.024094105,-0.290882409
1707531222833000000,0.021326065,0.081759453,-0.150931895
1707531222851890000,0.090281487,0.010323524,-0.034195665
1707531222870790000,0.153646469,0.035721302,0.005448898
1707531222889680000,0.20086956,0.04741478,-0.164393798
1707531222908570000,0.053063393,-0.019373417,-0.119378969
1707531222927460000,0.074733257,0.012183189,-0.13450107
1707531222946360000,0.106741905,-0.076751232,-0.171963692
1707531222965250000,0.058886528,-0.075520039,-0.088980451
1707531222984140000,0.017997265,-0.017157078,-0.056221038
1707531223003030000,0.009796619,0.00071907,-0.041404054
1707531223021930000,-0.04049778,0.076471806,-0.090944707
1707531223040820000,-0.061475277,0.043715,-0.055476427
1707531223059710000,-0.022108078,0.017383575,0.049318761
1707531223078600000,0.000118256,-0.004255295,0.057916194
1707531223097500000,-0.003544331,0.048838615,0.027063668
1707531223116390000,-0.133011818,-0.016653538,-0.034617633
1707531223135280000,-0.167408943,0.010411263,-0.089536428
1707531223154180000,-0.202356339,0.012713432,-0.230097771
1707531223173070000,0.071342945,-0.029108524,-0.097940087
1707531223191960000,0.280163765,-0.056471348,-0.032866359
1707531223210850000,0.352826595,-0.028522015,-0.010726154
1707531223229750000,0.294125557,-0.056461334,-0.091553867
1707531223248640000,0.323350906,0.03196764,-0.171673775
1707531223267530000,0.261929512,-0.004333973,-0.256989539
1707531223286420000,0.076562405,0.004999638,-0.255493879
1707531223305320000,-0.390205383,0.015949249,-0.219228506
1707531223324210000,-0.915427208,-0.006789684,-0.333576918
1707531223343100000,-0.970868111,-0.073926926,-0.361109614
1707531223362000000,-1.016393185,-0.051018715,-0.286031008
1707531223380890000,-1.073582649,-0.000584126,-0.215770245
1707531223399780000,-1.455327511,-0.046023369,0.076974034
1707531223418670000,-1.89136982,-0.070411205,0.254489779
1707531223437570000,-1.777395725,-0.162436485,0.034195423
1707531223456460000,-1.466022015,-0.157680511,0.299822569
1707531223475350000,-1.692024708,0.296397209,1.211624265
1707531223494240000,-2.136898994,0.256055832,1.026348352
1707531223513140000,-2.36393404,0.210804939,0.028421164
1707531223532030000,-1.684819221,-0.453042507,-0.013041556
1707531223550920000,-0.002044678,-0.529058933,0.124077611
1707531223569820000,1.236305237,-0.462807178,-0.428817511
1707531223588710000,2.462440491,-0.26303196,-0.880934
1707531223607600000,3.198102951,-0.132980824,-1.073014021
1707531223626490000,3.300998688,-0.109351635,-0.839040637
1707531223645390000,3.320694923,-0.024512053,-0.595668554
1707531223664280000,3.25929451,-0.009879589,-0.36248672
1707531223683170000,3.228421211,-0.102373362,0.12123549
1707531223702060000,3.71512413,-0.261895895,0.427717924
1707531223720960000,3.304497719,-0.471479416,1.054882288
1707531223739850000,2.57713604,-0.656384468,0.82215786
1707531223758740000,2.019227028,-0.745611191,-0.559898138
1707531223777640000,1.968316078,-1.244242668,-1.475653648
1707531223796530000,1.821022034,-1.536818027,-1.807013273
1707531223815420000,1.092206955,-1.627631187,-1.733919382
1707531223834310000,0.072425842,-1.485146999,-1.957074761
1707531223853210000,-0.954864502,-1.309279442,-2.050391674
1707531223872100000,-1.616293907,-1.425393105,-1.935761571
1707531223890990000,-1.82875061,-1.526237011,-1.930672288
1707531223909880000,-2.252728462,-1.218754768,-1.958611369
1707531223928780000,-2.353376865,-0.885140896,-1.420626402
1707531223947670000,-2.327054501,-0.736057281,-0.969417572
1707531223966560000,-2.639873981,-0.526762962,-0.479277134
1707531223985460000,-2.840178251,-0.265781879,0.105127096
1707531224004350000,-2.959118366,-0.010548115,0.432246923
1707531224023240000,-3.010155201,0.187081337,0.74004221
1707531224042130000,-3.013970613,0.474435806,1.392229795
1707531224061030000,-3.036206484,0.597504139,1.242168903
1707531224079920000,-3.257824898,-0.025386333,0.43073988
1707531224098810000,-3.384726048,-0.200494766,0.223650336
1707531224117700000,-3.013925552,-0.399517059,0.186612725
1707531224136600000,-1.931857109,-0.696363926,-0.003033221
1707531224155490000,-0.091082573,-0.495693684,-0.390935302
1707531224174380000,1.181859016,-0.539849281,-0.692304611
1707531224193280000,2.091741562,-0.521010399,-1.268576026
1707531224212170000,2.672246933,-0.22758913,-1.362114072
1707531224231060000,2.782223701,-0.05337286,-0.692211866
1707531224249950000,2.692696571,-0.320131779,0.017365932
1707531224268850000,3.170286179,-0.065074444,0.253019571
1707531224287740000,3.78451252,0.27572298,0.482909441
1707531224306630000,4.605442047,0.285983086,0.480709791
1707531224325520000,4.837052345,0.320069075,1.408899784
1707531224344420000,4.862229347,0.021641016,1.371355772
1707531224363310000,5.076683998,-0.288903713,0.908011317
1707531224382200000,4.569296837,-0.610361576,0.17874217
1707531224401100000,3.507136345,-0.827724934,-0.841632366
1707531224419990000,2.892468452,-1.668984413,-1.924978495
1707531224438880000,2.974463463,-2.154376507,-2.47110343
1707531224457770000,2.533928871,-2.519095421,-2.888143063
1707531224476670000,1.222830296,-2.66493988,-2.900298595
1707531224495560000,-0.899536133,-2.731567383,-3.204703569
1707531224514450000,-2.812121153,-2.527870178,-3.717827082
1707531224533350000,-4.550527573,-2.333210468,-3.732154846
1707531224552240000,-5.964627266,-2.314504623,-3.385035276
1707531224571130000,-6.236450195,-2.195531845,-3.054405212
1707531224590020000,-5.659488201,-2.268755913,-2.508752823
1707531224608920000,-4.727691174,-2.150957584,-2.012908459
1707531224627810000,-3.703976154,-1.893359661,-1.835645676
1707531224646700000,-2.784772158,-1.648245811,-1.46523416
1707531224665590000,-1.42294836,-1.328843117,-1.151548743
1707531224684490000,0.223985195,-0.859322548,-0.965473533
1707531224703380000,1.336119175,-0.444698334,-0.584264159
1707531224722270000,1.401477337,-0.054354191,0.06678772
1707531224741170000,0.578724861,-0.105814934,0.727226973
1707531224760060000,-0.002143383,-0.010185719,0.566471159
1707531224778950000,0.239312172,0.292161465,0.502487183
1707531224797840000,0.785048485,0.509411812,1.002324104
1707531224816740000,1.205097198,0.461409569,1.624094009
1707531224835630000,1.460767746,0.777786732,1.76580143
1707531224854520000,1.889656067,1.2297616,2.250102043
1707531224873420000,3.848268509,1.469192266,2.190897465
1707531224892310000,6.453724861,0.981672049,1.498018503
1707531224911200000,7.01846981,0.621301413,0.158569336
1707531224930090000,7.08318615,0.148204088,0.302197933
1707531224948990000,4.952695847,-0.349220872,1.24746418
1707531224967880000,4.214949131,-0.150748253,1.049406528
1707531224986770000,3.507554054,-0.940314531,1.35131979
1707531225005670000,2.357339859,-1.524855852,1.337137222
1707531225024560000,0.30907011,-1.129019499,0.402360439
1707531225043450000,0.443529606,-0.365122795,-1.038532734
1707531225062340000,0.560079575,-1.384599209,0.105846405
1707531225081240000,1.2260499,-2.300676346,0.379453182
1707531225100130000,0.064285278,-3.290097713,0.377166748
1707531225119020000,-0.533729076,-4.813937664,0.362241268
1707531225137920000,-6.704456329,0.393840313,3.777656555
1707531225156810000,-4.543878555,0.570130825,4.582128525
1707531225175700000,-1.495055199,0.373164177,0.132328987
1707531225194590000,-0.733405113,-1.275140285,-4.927354813
1707531225213490000,1.580462933,-0.75293541,-6.921754837
1707531225232380000,2.342585564,-0.679532766,-6.285913944
1707531225251270000,1.630213737,-1.296706676,-1.977330923
1707531225270160000,2.200610161,0.348508358,1.777736664
1707531225289060000,4.542015076,0.049411774,3.041335106
1707531225307950000,7.460810661,-0.418007851,2.032940626
1707531225326840000,9.409007072,-2.367031097,-1.046455622
1707531225345740000,9.931477547,-3.587464094,-0.217132151
1707531225364630000,7.994594097,-4.249242306,0.014791369
